item_number,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_w2v,result_ft,result_mgpt,result_gpt2,result_bertje,result_robbert,result_xlmv,result_gpt3
3,far,high,causal,0,0,0,0,0,0,0,1
4,far,high,causal,0,0,0,0,0,0,0,0
6,NA,high,causal,0,0,NA,1,1,1,1,0
7,NA,high,causal,0,1,NA,1,0,1,1,0
11,far,high,causal,0,0,NA,1,1,1,1,0
12,NA,high,causal,1,0,NA,1,0,0,1,0
13,NA,high,causal,0,0,NA,NA,0,0,0,0
14,far,high,causal,0,0,NA,NA,0,0,1,0
15,far,high,causal,0,0,NA,NA,0,0,0,0
16,far,high,causal,0,0,NA,NA,0,0,0,0
17,far,low,causal,1,1,0,0,1,1,1,0
18,far,low,causal,1,1,0,0,1,1,1,0
19,NA,high,causal,0,0,NA,NA,0,0,0,0
20,far,high,causal,0,0,NA,NA,0,0,0,0
21,far,high,causal,0,0,NA,0,0,0,0,0
22,far,high,causal,0,0,NA,0,0,0,0,0
23,near,low,causal,0,0,NA,NA,0,0,1,1
25,near,high,causal,0,0,NA,NA,0,0,0,0
26,far,high,causal,1,1,NA,NA,0,0,0,0
29,NA,high,causal,0,1,NA,NA,0,0,0,0
30,far,high,causal,0,1,NA,NA,0,0,1,0
31,NA,high,causal,0,0,NA,1,1,1,1,0
32,far,high,causal,0,0,NA,1,1,1,1,0
34,far,low,causal,1,1,NA,NA,0,0,0,0
40,far,low,causal,1,1,NA,NA,0,0,0,0
46,NA,low,causal,0,0,NA,1,1,1,1,0
48,far,low,causal,0,0,NA,1,1,1,1,0
49,NA,high,causal,0,0,NA,0,0,0,0,0
51,NA,high,causal,0,0,NA,0,0,0,0,0
54,far,low,causal,1,0,1,0,0,0,0,1
55,far,low,causal,1,0,1,1,0,1,1,1
58,far,high,causal,0,0,0,0,0,0,0,0
59,far,high,causal,0,0,1,0,0,0,0,0
61,far,high,causal,0,0,NA,NA,1,0,1,0
62,NA,high,causal,0,0,NA,NA,1,0,0,0
64,near,low,categorical,0,0,0,1,1,1,1,1
65,near,low,categorical,0,0,0,1,1,1,1,1
68,far,high,categorical,0,0,NA,NA,0,0,0,0
69,NA,high,categorical,0,0,NA,NA,0,0,0,0
70,far,low,categorical,1,1,NA,0,1,0,1,1
71,NA,low,categorical,0,1,NA,0,1,1,1,1
72,far,high,categorical,0,0,NA,NA,0,0,0,0
73,NA,high,categorical,0,0,NA,NA,0,0,0,0
74,NA,high,categorical,0,0,NA,1,0,0,0,0
75,far,high,categorical,0,0,NA,1,0,0,0,1
78,far,low,categorical,1,1,NA,NA,0,0,0,1
