row_number,item_number,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_w2v,result_ft,result_mgpt,result_gpt2,result_bertje,result_robbert,result_xlmv,result_gpt3
1,2,NA,NA,causal,NA,NA,NA,NA,NA,NA,NA,0
6,8,far,high,causal,1,0,NA,NA,NA,NA,NA,0
22,28,far,high,causal,NA,NA,NA,NA,NA,NA,NA,0
30,41,NA,low,causal,1,1,NA,NA,NA,NA,NA,0
31,42,NA,low,causal,0,0,NA,NA,NA,NA,NA,0
38,52,near,low,causal,0,1,NA,NA,NA,NA,NA,0
39,53,far,low,causal,0,1,NA,NA,NA,NA,NA,0
42,56,NA,NA,causal,NA,NA,NA,NA,NA,NA,NA,1
43,57,NA,NA,causal,NA,NA,NA,NA,NA,NA,NA,1
50,66,far,low,categorical,1,1,NA,NA,NA,NA,NA,1
51,67,NA,low,categorical,0,0,NA,NA,NA,NA,NA,1
60,76,far,high,categorical,0,0,NA,NA,1,1,NA,1
61,77,far,high,categorical,0,0,NA,NA,0,0,NA,1
74,90,far,low,categorical,1,1,NA,NA,NA,NA,NA,1
75,91,far,low,categorical,1,1,NA,NA,NA,NA,NA,1
80,96,far,high,categorical,1,1,NA,NA,NA,NA,NA,0
81,97,far,high,categorical,0,0,NA,NA,NA,NA,NA,1
96,112,far,low,categorical,1,1,NA,NA,NA,NA,NA,1
97,113,far,low,categorical,1,1,NA,NA,NA,NA,NA,0
98,114,far,low,categorical,1,1,NA,NA,0,NA,NA,1
99,115,near,low,categorical,0,0,NA,NA,0,NA,NA,1
100,116,far,low,categorical,0,0,NA,NA,0,NA,NA,1
125,141,near,low,compositional,0,0,NA,NA,0,NA,NA,1
126,142,NA,low,compositional,0,0,NA,NA,0,NA,NA,1
140,156,NA,low,compositional,1,0,NA,NA,0,0,NA,0
141,157,NA,low,compositional,1,0,NA,NA,0,0,NA,0
144,160,far,high,compositional,0,0,NA,NA,NA,NA,NA,0
145,161,NA,high,compositional,1,1,NA,NA,NA,NA,NA,1
170,186,NA,low,compositional,0,0,NA,NA,NA,NA,NA,0
171,187,NA,low,compositional,0,0,NA,NA,NA,NA,NA,0
183,199,NA,NA,compositional,NA,NA,NA,NA,NA,NA,NA,0
184,200,NA,NA,compositional,NA,NA,NA,NA,NA,NA,NA,0
187,203,near,high,compositional,0,0,NA,NA,NA,NA,NA,0
188,204,near,high,compositional,0,0,NA,NA,NA,NA,NA,0
198,214,near,high,compositional,0,0,NA,NA,NA,NA,NA,0
199,215,far,high,compositional,0,0,NA,NA,NA,NA,NA,0
203,220,NA,high,compositional,1,1,NA,NA,NA,NA,NA,0
204,221,NA,high,compositional,0,0,NA,NA,NA,NA,NA,1
207,224,far,low,compositional,1,0,NA,NA,1,NA,NA,1
208,225,far,low,compositional,1,1,NA,NA,1,NA,NA,1
209,226,near,high,compositional,0,0,NA,1,NA,NA,NA,1
210,227,near,high,compositional,0,0,NA,1,NA,NA,NA,1
211,228,NA,low,compositional,1,1,NA,NA,NA,NA,NA,0
212,229,near,low,compositional,0,1,NA,NA,NA,NA,NA,1
215,232,far,high,compositional,0,0,NA,0,0,0,NA,0
216,233,far,high,compositional,0,0,NA,0,0,0,NA,0
217,234,near,low,compositional,0,0,NA,NA,NA,NA,NA,1
218,235,near,low,compositional,0,0,NA,NA,NA,NA,NA,1
219,236,far,low,compositional,1,1,NA,NA,NA,NA,NA,0
220,237,near,low,compositional,0,0,NA,NA,NA,NA,NA,1
229,246,near,high,compositional,0,0,NA,NA,NA,NA,NA,0
230,247,far,high,compositional,0,0,NA,NA,NA,NA,NA,0
231,248,NA,high,compositional,0,1,NA,NA,NA,NA,NA,0
235,254,far,high,compositional,NA,NA,NA,NA,NA,NA,NA,0
236,255,far,high,compositional,NA,NA,NA,NA,NA,NA,NA,0
241,260,far,high,categorical,1,1,0,0,0,0,NA,1
242,261,NA,high,categorical,1,1,0,0,0,0,NA,1
243,262,far,high,categorical,0,1,0,0,0,1,NA,1
253,272,NA,low,categorical,1,1,NA,NA,NA,NA,NA,0
254,273,far,low,categorical,0,0,NA,NA,NA,NA,NA,1
255,274,NA,low,categorical,1,1,NA,NA,0,0,NA,0
256,275,near,low,categorical,0,0,NA,NA,1,1,NA,1
263,282,near,high,categorical,0,1,NA,NA,0,NA,NA,1
264,283,NA,high,categorical,0,0,NA,NA,0,NA,NA,1
267,286,near,high,categorical,0,0,NA,NA,NA,NA,NA,0
268,287,near,high,categorical,0,0,NA,NA,NA,NA,NA,0
269,288,NA,low,categorical,0,0,NA,NA,NA,NA,NA,0
270,289,NA,low,categorical,0,0,NA,NA,NA,NA,NA,1
273,292,NA,high,categorical,0,0,NA,NA,NA,NA,NA,0
274,293,near,high,categorical,0,1,NA,NA,NA,NA,NA,0
281,300,NA,high,categorical,0,1,NA,NA,NA,NA,NA,0
282,301,NA,high,categorical,0,0,NA,NA,NA,NA,NA,1
285,304,far,low,categorical,1,1,NA,NA,0,0,NA,1
286,305,near,low,categorical,0,0,NA,NA,1,1,NA,1
295,314,NA,low,categorical,1,1,NA,NA,1,1,NA,1
296,315,near,low,categorical,0,1,NA,NA,1,1,NA,1
297,316,NA,low,categorical,0,0,NA,NA,NA,NA,NA,1
298,317,NA,low,categorical,0,1,NA,NA,NA,NA,NA,1
301,320,far,low,categorical,0,1,NA,NA,NA,NA,NA,1
302,321,NA,low,categorical,0,0,NA,NA,NA,NA,NA,1
313,332,NA,NA,causal,NA,NA,NA,NA,NA,NA,NA,0
314,333,NA,NA,causal,NA,NA,NA,NA,NA,NA,NA,0
325,347,near,high,categorical,0,0,NA,NA,NA,0,NA,1
326,348,near,high,categorical,0,0,NA,NA,NA,0,NA,1
329,351,far,low,categorical,0,1,NA,NA,NA,0,NA,0
330,352,far,low,categorical,0,1,NA,NA,NA,0,NA,1
331,353,near,low,categorical,0,0,NA,NA,NA,1,NA,1
332,354,near,low,categorical,0,1,NA,NA,NA,0,NA,1
