item_number,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_ABC_xlmv,result_ABC_gpt3,result_C_xlmv,result_C_gpt3,result_ACB_xlmv,result_ACB_gpt3
3,far,high,causal,0,1,1,0,0,1
4,far,high,causal,0,0,1,1,0,1
6,NA,high,causal,1,0,1,0,1,1
7,NA,high,causal,1,0,1,0,1,0
11,far,high,causal,1,0,1,0,1,0
12,NA,high,causal,1,0,1,0,1,0
13,NA,high,causal,0,0,0,0,0,0
14,far,high,causal,1,0,0,0,0,0
15,far,high,causal,0,0,0,0,0,1
16,far,high,causal,0,0,0,0,0,0
17,far,low,causal,1,0,1,0,1,0
18,far,low,causal,1,0,1,0,1,0
19,NA,high,causal,0,0,0,0,0,0
20,far,high,causal,0,0,0,0,0,1
21,far,high,causal,0,0,0,0,0,0
22,far,high,causal,0,0,0,0,0,0
23,near,low,causal,1,1,0,0,1,1
25,near,high,causal,0,0,0,0,0,0
26,far,high,causal,0,0,0,0,0,0
29,NA,high,causal,0,0,1,0,0,0
30,far,high,causal,1,0,1,0,1,0
31,NA,high,causal,1,0,0,0,1,0
32,far,high,causal,1,0,0,0,0,0
34,far,low,causal,0,0,0,1,0,0
40,far,low,causal,0,0,0,0,0,0
46,NA,low,causal,1,0,1,0,1,0
48,far,low,causal,1,0,1,0,0,0
49,NA,high,causal,0,0,0,0,0,0
51,NA,high,causal,0,0,0,1,0,0
54,far,low,causal,0,1,1,0,0,0
55,far,low,causal,1,1,1,0,1,0
58,far,high,causal,0,0,0,0,0,0
59,far,high,causal,0,0,0,0,0,0
61,far,high,causal,1,0,0,0,0,0
62,NA,high,causal,0,0,0,0,1,0
64,near,low,categorical,1,1,1,1,1,1
65,near,low,categorical,1,1,1,1,1,1
68,far,high,categorical,0,0,0,1,0,0
69,NA,high,categorical,0,0,0,1,0,0
70,far,low,categorical,1,1,1,1,1,0
71,NA,low,categorical,1,1,1,1,1,1
72,far,high,categorical,0,0,0,1,0,0
73,NA,high,categorical,0,0,0,0,0,0
74,NA,high,categorical,0,0,0,0,0,1
75,far,high,categorical,0,1,0,0,0,1
78,far,low,categorical,0,1,0,0,0,0
79,near,low,categorical,1,1,0,0,0,1
80,far,low,categorical,1,0,0,0,1,0
81,near,low,categorical,1,1,0,0,1,1
82,NA,high,categorical,0,1,0,0,0,0
83,NA,high,categorical,0,0,0,0,0,0
84,NA,low,categorical,0,1,0,1,0,1
85,NA,low,categorical,0,1,0,1,0,1
86,NA,high,categorical,0,1,0,0,0,0
87,NA,high,categorical,1,1,0,1,0,1
88,far,high,categorical,0,0,0,1,0,0
89,far,high,categorical,1,1,0,0,1,1
92,far,high,categorical,0,0,0,0,0,1
93,far,high,categorical,0,0,0,1,0,1
94,NA,high,categorical,1,0,0,0,1,1
95,NA,high,categorical,0,0,0,1,0,0
98,far,high,categorical,0,0,0,0,0,0
99,NA,high,categorical,0,1,0,0,0,1
100,far,low,categorical,0,0,1,0,0,0
101,NA,low,categorical,1,0,1,0,0,0
102,NA,low,categorical,0,1,1,0,0,0
103,near,low,categorical,0,1,0,0,0,1
104,NA,low,categorical,0,0,0,0,0,0
105,near,low,categorical,1,1,0,1,1,1
106,far,high,categorical,0,1,0,1,0,0
107,far,high,categorical,0,0,0,1,0,1
108,far,high,categorical,1,1,0,1,0,1
109,far,high,categorical,1,1,0,0,0,1
110,far,high,categorical,0,0,0,0,0,0
111,far,high,categorical,0,0,0,0,0,1
117,far,high,categorical,0,0,0,0,0,0
118,far,high,categorical,0,0,0,0,0,0
119,far,low,categorical,1,0,1,1,1,0
120,NA,low,categorical,0,1,1,1,0,0
121,near,low,categorical,1,1,1,0,1,1
122,NA,low,categorical,0,1,0,1,0,0
123,far,low,categorical,1,0,0,1,1,0
124,far,low,categorical,0,1,0,0,0,0
125,near,low,categorical,1,1,0,1,1,1
126,far,low,categorical,0,1,0,0,1,0
127,NA,high,categorical,0,0,0,0,0,0
